id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
9327,49.99,122,4.45,14,4,64,,Teaching & Academics,Language Learning,English
9236,29.99,6999,4.5,349,110,19,,Health & Fitness,Dance,English
9385,49.99,75572,4.5,2479,611,135,,Office Productivity,Microsoft,English
9646,179.99,1276,4,235,63,59,,IT & Software,Hardware,English
9521,49.99,991,3.55,64,23,104,515,Business,Entrepreneurship,English
9513,19.99,1975,3.85,160,54,16,,Design,Design Tools,English
9463,49.99,54983,4.5,1374,347,114,,Development,Programming Languages,English
9707,19.99,78,4.857143,7,1,19,,Lifestyle,Food & Beverage,English
9712,49.99,5775,4.5,,22,71,,Design,Design Tools,English
10413,44.99,424,4.2,34,null,39,,Design,Web Design,English
9711,0,320480,3.8020833,10279,2024,156,642,Development,Programming Languages,English
10251,19.99,94,4.5,3,0,29,,Business,Communication,English
